,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2],synthetic global irradiance [W/m^2],synthetic diffuse irradiance [W/m^2],clear sky irradiance [W/m^2],PV_Süd [W],PV_West [W],PV_Ost [W],PV - Vorhanden [W]
2022-01-01 00:00:00,1.5,1026.0,145.0,2.0,5.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:15:00,1.5,1026.0,145.0,2.0,5.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:30:00,1.3,1026.0,142.0,1.9,4.8,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:45:00,0.8,1026.0,135.5,1.7,4.3,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:00:00,0.3,1026.0,129.0,1.6,3.8,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:15:00,-0.2,1026.0,122.5,1.4,3.3,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:30:00,-0.7,1025.9,117.0,1.2,2.9,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:45:00,-1.1,1025.6,112.8,1.1,2.6,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:00:00,-1.4,1025.4,108.5,1.0,2.4,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:15:00,-1.8,1025.1,104.3,0.9,2.1,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:30:00,-2.0,1025.0,103.1,0.8,2.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:45:00,-2.0,1025.0,105.3,0.9,2.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:00:00,-2.1,1025.0,107.5,0.9,2.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:15:00,-2.1,1025.0,109.8,1.0,2.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:30:00,-2.1,1024.9,111.8,1.0,2.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:45:00,-2.1,1024.6,113.6,1.1,2.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00,-2.2,1024.4,115.3,1.1,2.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:15:00,-2.2,1024.1,117.1,1.2,2.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:30:00,-2.2,1023.9,118.9,1.3,2.1,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:45:00,-2.2,1023.6,120.9,1.4,2.4,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:00:00,-2.3,1023.4,122.9,1.5,2.6,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:15:00,-2.3,1023.1,124.9,1.6,2.9,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:30:00,-2.3,1022.9,126.7,1.6,3.0,91.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:45:00,-2.3,1022.6,128.2,1.5,3.0,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:00:00,-2.2,1022.4,129.7,1.3,3.0,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:15:00,-2.2,1022.1,131.2,1.2,3.0,90.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:30:00,-2.2,1021.9,131.1,1.2,3.3,89.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:45:00,-2.2,1021.6,129.1,1.3,4.1,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 07:00:00,-2.1,1021.4,127.1,1.5,4.9,89.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 07:15:00,-2.1,1021.1,125.1,1.6,5.6,89.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 07:30:00,-2.1,1021.0,125.3,1.8,6.1,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 07:45:00,-2.1,1021.0,128.0,2.1,6.4,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 08:00:00,-2.0,1021.0,130.8,2.4,6.6,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 08:15:00,-2.0,1021.0,133.5,2.7,6.9,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 08:30:00,-2.0,1020.9,133.8,2.7,7.0,88.9,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 08:45:00,-2.0,1020.6,131.3,2.6,7.0,88.6,0.0,7.3,0.0,0.0,3.6,0.0,0.0,0.0,0.0
2022-01-01 09:00:00,-2.0,1020.4,128.8,2.5,7.0,88.4,0.0,12.3,14.2,13.4,21.8,979.4375680483685,1228.4471192471062,1139.9103899319996,0.273261510231811
2022-01-01 09:15:00,-2.0,1020.1,126.3,2.4,7.0,88.1,0.0,17.3,22.1,21.4,43.2,1916.7378441779974,2404.0440757486745,2230.779637856878,0.5347667836166554
2022-01-01 09:30:00,-2.0,1020.0,124.9,2.4,7.0,87.9,0.0,23.4,22.3,22.0,64.7,1939.8534857553732,2433.0365753541964,2257.682587941282,0.5412160105336886
2022-01-01 09:45:00,-1.9,1020.0,124.6,2.6,7.0,87.6,0.0,30.6,21.4,21.3,85.6,1832.0639240237483,2297.8428877585993,2132.2325895417634,0.5111428957309753
2022-01-01 10:00:00,-1.8,1020.0,124.4,2.8,7.0,87.4,0.0,37.9,33.7,32.4,105.6,3290.3208918177966,4126.84315244944,3829.4130153359656,0.9179942503502259
2022-01-01 10:15:00,-1.7,1020.0,124.1,3.0,7.0,87.1,0.0,45.1,44.3,42.8,124.3,4546.982499929175,5702.9949999111695,5291.968333250905,1.2686008230255075
2022-01-01 10:30:00,-1.6,1019.9,123.9,3.0,7.0,86.9,0.3,52.3,51.9,50.8,141.4,5533.399629115383,6827.995302984924,6336.710756860351,1.5438096196178788
2022-01-01 10:45:00,-1.6,1019.6,123.6,2.9,7.0,86.6,1.1,59.3,66.1,65.0,156.7,7640.769720485501,8962.911952201335,8247.151928225023,2.1317624943811118
2022-01-01 11:00:00,-1.6,1019.4,123.4,2.8,7.0,86.4,1.9,66.3,68.4,66.9,170.1,7932.493146975739,9346.292829829239,8521.360940683951,2.2131528623772727
2022-01-01 11:15:00,-1.6,1019.1,123.1,2.7,7.0,86.1,2.6,73.3,85.7,81.9,181.5,10706.157432737133,12105.418027950014,10685.206230759251,2.987000748479356
2022-01-01 11:30:00,-1.6,1018.9,123.6,2.6,7.0,86.0,3.3,78.7,86.0,82.2,190.7,10706.111154710472,12243.340541074243,10638.555868219786,2.9869878369841594
2022-01-01 11:45:00,-1.6,1018.6,124.8,2.7,7.0,86.0,4.1,82.5,80.0,79.0,197.7,9696.453131561902,11346.254158867328,9835.247343565696,2.7052948682602787
2022-01-01 12:00:00,-1.6,1018.4,126.1,2.8,7.0,86.0,4.9,86.3,52.6,52.2,202.3,5539.34665181628,6938.632375679748,6428.136857594482,1.5454688294109726
2022-01-01 12:15:00,-1.6,1018.1,127.3,2.9,7.0,86.0,5.6,90.0,56.7,48.4,204.6,6149.033272758484,7617.837821124002,6922.769175011166,1.7155704185697107
2022-01-01 12:30:00,-1.6,1017.9,125.4,3.0,6.9,86.0,7.4,91.9,112.8,98.5,204.5,15804.125908056205,17934.134952631226,12957.75446999415,4.409325774724476
2022-01-01 12:45:00,-1.7,1017.6,119.9,3.0,6.6,86.0,10.4,91.6,169.9,88.0,202.0,28981.72396507343,31624.981723578792,17258.13943216336,8.085854492592155
2022-01-01 13:00:00,-1.7,1017.4,114.4,3.1,6.4,86.0,13.4,91.4,177.9,89.9,197.2,32054.754164342477,35731.01610858729,17319.1323169261,8.94322498830787
2022-01-01 13:15:00,-1.8,1017.1,108.9,3.1,6.1,86.0,16.4,91.1,113.3,99.4,190.1,17170.369816070084,20357.462525301842,12485.893943300056,4.790505633276162
2022-01-01 13:30:00,-1.8,1016.9,106.1,3.1,6.1,86.0,16.1,86.3,90.9,83.0,180.7,13032.241998187652,15941.116378777284,10252.28326755004,3.6359746106403446
2022-01-01 13:45:00,-1.9,1016.6,106.4,3.0,6.4,86.0,12.1,76.3,53.8,53.4,169.1,6386.254665799159,8012.358287936306,6281.031017882099,1.7817548066678268
2022-01-01 14:00:00,-1.9,1016.4,106.6,2.9,6.6,86.0,8.1,66.3,41.4,41.1,155.5,4555.269233578813,5768.095899430415,4751.910642124947,1.2709128084198407
2022-01-01 14:15:00,-2.0,1016.1,106.9,2.8,6.9,86.0,4.1,56.3,52.4,49.8,140.0,7106.819210456034,9438.236314031865,5822.054073903574,1.9827911586680707
2022-01-01 14:30:00,-2.0,1016.0,106.3,2.8,7.0,85.9,1.8,46.2,45.7,44.1,122.8,6580.5411719736885,9226.562299168929,4908.642919446248,1.8359604302081856
2022-01-01 14:45:00,-2.0,1016.0,104.8,2.9,7.0,85.6,1.3,36.0,72.5,54.5,104.0,15724.16310639876,26038.211000164665,6281.378500928853,4.387016281341638
2022-01-01 15:00:00,-2.0,1016.0,103.3,3.0,7.0,85.4,0.8,25.7,20.9,20.7,84.0,2159.50637237593,3176.9108144549527,1899.8929894919356,0.6024988135247067
2022-01-01 15:15:00,-2.0,1016.0,101.8,3.1,7.0,85.1,0.3,15.5,9.0,8.7,63.0,382.6609418676467,509.7858745839049,417.86222273456565,0.10676178890078733
2022-01-01 15:30:00,-2.0,1016.0,101.1,3.0,7.0,85.0,0.0,8.8,6.5,6.5,41.4,0.0,0.0,0.0,0.0
2022-01-01 15:45:00,-2.0,1016.0,101.4,2.8,7.0,85.0,0.0,6.3,3.6,3.6,20.1,0.0,0.0,0.0,0.0
2022-01-01 16:00:00,-2.0,1016.0,101.6,2.5,7.0,85.0,0.0,3.8,0.0,0.0,2.7,0.0,0.0,0.0,0.0
2022-01-01 16:15:00,-2.0,1016.0,101.9,2.3,7.0,85.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 16:30:00,-2.0,1016.0,100.6,2.3,7.0,84.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 16:45:00,-2.0,1016.0,97.6,2.5,7.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 17:00:00,-2.0,1016.0,94.6,2.7,7.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 17:15:00,-2.0,1016.0,91.6,2.9,7.0,84.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 17:30:00,-2.0,1016.0,89.9,3.0,7.0,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 17:45:00,-2.0,1016.0,89.6,3.1,7.0,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 18:00:00,-2.0,1016.0,89.4,3.2,7.0,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 18:15:00,-2.0,1016.0,89.1,3.3,7.0,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 18:30:00,-2.0,1016.0,89.1,3.6,7.0,82.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 18:45:00,-1.9,1016.0,89.4,3.9,7.0,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 19:00:00,-1.8,1016.0,89.6,4.3,7.0,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 19:15:00,-1.7,1016.0,89.9,4.7,7.0,82.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 19:30:00,-1.7,1016.0,91.5,4.5,7.0,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 19:45:00,-1.7,1016.0,94.8,3.7,7.0,81.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 20:00:00,-1.6,1016.0,98.0,2.8,7.0,81.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 20:15:00,-1.6,1016.0,101.3,2.0,7.0,81.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 20:30:00,-1.6,1016.0,101.0,1.5,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 20:45:00,-1.5,1016.0,96.8,1.6,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 21:00:00,-1.5,1016.0,92.5,1.7,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 21:15:00,-1.4,1016.0,88.3,1.8,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 21:30:00,-1.4,1016.0,87.3,1.9,7.0,81.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 21:45:00,-1.4,1016.0,90.0,1.9,7.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 22:00:00,-1.5,1016.0,92.8,2.0,7.0,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 22:15:00,-1.5,1016.0,95.5,2.0,7.0,82.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 22:30:00,-1.5,1016.1,95.7,2.0,7.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 22:45:00,-1.4,1016.4,93.0,2.1,7.0,84.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 23:00:00,-1.3,1016.6,90.2,2.2,7.0,84.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 23:15:00,-1.2,1016.9,87.5,2.3,7.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 23:30:00,-1.2,1017.0,87.3,2.3,7.0,86.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 23:45:00,-1.1,1017.0,90.0,2.2,7.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 00:00:00,-1.0,1017.0,92.8,2.1,7.0,86.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 00:15:00,-0.9,1017.0,95.5,2.0,7.0,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 00:30:00,-0.9,1017.0,95.9,2.0,7.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 00:45:00,-1.0,1017.0,93.7,2.1,7.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 01:00:00,-1.0,1017.0,91.5,2.2,7.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 01:15:00,-1.1,1017.0,89.2,2.3,7.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 01:30:00,-1.1,1017.1,86.7,2.3,7.0,87.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 01:45:00,-1.1,1017.4,84.0,2.2,7.0,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 02:00:00,-1.2,1017.6,81.2,2.2,7.0,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 02:15:00,-1.2,1017.9,78.5,2.1,7.0,87.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 02:30:00,-1.2,1018.0,78.3,2.2,7.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
