,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2],synthetic global irradiance [W/m^2],synthetic diffuse irradiance [W/m^2],clear sky irradiance [W/m^2],PV_Süd [W],PV_West [W],PV_Ost [W],PV - Vorhanden [W]
2022-01-01 00:00:00,2.2,1028.0,215.0,1.8,3.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:15:00,2.2,1028.0,215.0,1.8,3.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:30:00,2.2,1028.0,213.1,1.8,2.9,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:45:00,2.1,1028.0,209.1,1.7,2.6,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:00:00,2.1,1028.0,205.1,1.6,2.4,90.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:15:00,2.0,1028.0,201.1,1.5,2.1,90.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:30:00,2.0,1028.0,193.7,1.4,2.0,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:45:00,1.9,1028.0,182.5,1.3,2.0,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:00:00,1.9,1028.0,171.3,1.3,2.0,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:15:00,1.8,1028.0,160.0,1.2,2.0,92.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:30:00,1.8,1028.0,146.5,1.2,2.1,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:45:00,1.7,1028.0,130.5,1.2,2.4,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:00:00,1.7,1028.0,114.5,1.3,2.6,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:15:00,1.6,1028.0,98.5,1.3,2.9,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:30:00,1.6,1028.0,83.7,1.3,3.2,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:45:00,1.6,1028.0,70.2,1.3,3.7,92.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00,1.6,1028.0,56.7,1.3,4.2,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:15:00,1.6,1028.0,43.2,1.3,4.7,92.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
