,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
0,Ein,Aus,25 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1591246.233509575,0.0,4794283.406908083,1589.6376666666667,381.6094660927531,0.0,0.0,111778.79149042476,0.0
1,Ein,Aus,500 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1234665.9101047926,46640.37269113929,4794283.406908083,1589.6376666666667,353.56,0.0,0.0,514999.48758634686,0.0
2,Ein,Aus,1.000 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1083874.1087380773,299069.2674203463,4794283.406908083,1589.6376666666667,353.56,0.0,0.0,918220.1836822691,0.0
3,Ein,Aus,1.500 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1012504.6973326447,630920.5521108357,4794283.406908083,1589.6376666666667,353.56,0.0,0.0,1321440.8797781912,0.0
4,Aus,Aus,25 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1669120.2304082003,0.0,4794283.406908083,1589.6376666666667,386.1185369911444,0.0,0.0,33904.79459179975,0.0
5,Aus,Aus,500 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1304907.6538289364,39008.11951665823,4794283.406908083,1589.6376666666667,361.0,0.0,0.0,437125.4906877218,0.0
6,Aus,Aus,1.000 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1144290.4283866188,281611.590170263,4794283.406908083,1589.6376666666667,361.0,0.0,0.0,840346.1867836439,0.0
7,Aus,Aus,1.500 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1068397.31528316,608939.173162726,4794283.406908083,1589.6376666666667,361.0,0.0,0.0,1243566.8828795662,0.0
8,Ein,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1591246.233509575,0.0,4715688.5969587695,1563.5780327868854,381.6094660927531,0.0,0.0,111778.79149042476,0.0
9,Ein,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1234665.9101047926,46640.37269113929,4715688.5969587695,1563.5780327868854,353.56,0.0,0.0,514999.48758634686,0.0
10,Ein,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1083874.1087380773,299069.2674203463,4715688.5969587695,1563.5780327868854,353.56,0.0,0.0,918220.1836822691,0.0
11,Ein,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1012504.6973326447,630920.5521108357,4715688.5969587695,1563.5780327868854,353.56,0.0,0.0,1321440.8797781912,0.0
12,Aus,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1669120.2304082003,0.0,4715688.5969587695,1563.5780327868854,386.1185369911444,0.0,0.0,33904.79459179975,0.0
13,Aus,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1304907.6538289364,39008.11951665823,4715688.5969587695,1563.5780327868854,361.0,0.0,0.0,437125.4906877218,0.0
14,Aus,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1144290.4283866188,281611.590170263,4715688.5969587695,1563.5780327868854,361.0,0.0,0.0,840346.1867836439,0.0
15,Aus,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1068397.31528316,608939.173162726,4715688.5969587695,1563.5780327868854,361.0,0.0,0.0,1243566.8828795662,0.0
16,Ein,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,55,Jetzt Kalt,1770205.4050036252,0.0,3977626.1249548034,1589.6376666666667,423.7447988314868,0.0,4.1070348483502555,111778.79149042476,178959.17149404966
17,Ein,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,65,Jetzt Kalt,1709524.7510199829,0.0,4294607.7589800265,1589.6376666666667,395.14991014705413,0.0,3.8021112590938513,111778.79149042476,118278.51751040792
18,Ein,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,75,Jetzt Kalt,1648312.2237898777,0.0,4571042.9042806765,1589.6376666666667,384.0612356442563,0.0,3.5207739562177776,111778.79149042476,57065.99028030233
19,Ein,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,55,Jetzt Kalt,1400440.9245219864,32962.41878225103,3976162.128146312,1589.6376666666667,396.24305699021784,0.0,4.103075907597435,514999.48758634686,179452.96832608228
20,Ein,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,65,Jetzt Kalt,1339829.1806727636,30870.099507081482,4287542.820286389,1589.6376666666667,353.56,0.0,3.771216106051414,514999.48758634686,120933.54375202885
21,Ein,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,75,Jetzt Kalt,1280523.4614916285,28135.716254229847,4553415.139227276,1589.6376666666667,353.56,0.0,3.3681479899877975,514999.48758634686,64362.207823745695
22,Ein,Aus,1.000 kWp,Luft/Wasser 200,Normal weiter,0%,55,Jetzt Kalt,1226206.0416765185,257691.2567379205,3965301.490528291,1589.6376666666667,374.1946490054446,0.0,4.061204908328474,918220.1836822691,183709.94362086707
23,Ein,Aus,1.000 kWp,Luft/Wasser 200,Normal weiter,0%,65,Jetzt Kalt,1167956.6834734553,250133.8522812412,4258201.309093369,1589.6376666666667,353.56,0.0,3.6271326043079677,918220.1836822691,133017.98987448265
24,Ein,Aus,1.000 kWp,Luft/Wasser 200,Normal weiter,0%,75,Jetzt Kalt,1115441.9144073667,239195.06501405037,4493498.993632281,1589.6376666666667,353.56,0.0,2.9604114962617487,918220.1836822691,91442.00807558531
25,Ein,Aus,1.500 kWp,Luft/Wasser 200,Normal weiter,0%,55,Jetzt Kalt,1143815.8694404291,573159.7349900923,3952329.4268900077,1589.6376666666667,368.64500325429793,0.0,4.007778122545573,1321440.8797781912,189071.98922852825
26,Ein,Aus,1.500 kWp,Luft/Wasser 200,Normal weiter,0%,65,Jetzt Kalt,1087963.204069713,561198.1773718888,4233210.666536449,1589.6376666666667,353.56,0.0,3.4781815704700376,1321440.8797781912,145180.88147601517
27,Ein,Aus,1.500 kWp,Luft/Wasser 200,Normal weiter,0%,75,Jetzt Kalt,1039204.0359536929,544348.0148842405,4453080.839962703,1589.6376666666667,353.56,0.0,2.7110199063347675,1321440.8797781912,113271.8758476435
28,Aus,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,55,Jetzt Kalt,1848079.40190225,0.0,3977626.1249548034,1589.6376666666667,423.7447988314868,0.0,4.1070348483502555,33904.79459179975,178959.17149404966
29,Aus,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,65,Jetzt Kalt,1787398.7479186084,0.0,4294607.7589800265,1589.6376666666667,413.70234001959307,0.0,3.8021112590938513,33904.79459179975,118278.51751040792
30,Aus,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,75,Jetzt Kalt,1726186.2206885025,0.0,4571042.9042806765,1589.6376666666667,401.221151615475,0.0,3.5207739562177776,33904.79459179975,57065.99028030233
31,Aus,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,55,Jetzt Kalt,1472284.0973206293,26933.570040245457,3976168.711610625,1589.6376666666667,408.1605440156114,0.0,4.103088055347659,437125.4906877218,179450.99296810583
32,Aus,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,65,Jetzt Kalt,1411652.0815682465,25115.54906884396,4288428.920186694,1589.6376666666667,389.4232619005302,0.0,3.773875717158221,437125.4906877218,120636.99818712473
33,Aus,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,75,Jetzt Kalt,1351876.5800415468,22768.204693434604,4556501.074093513,1589.6376666666667,361.0,0.0,3.385667195065157,437125.4906877218,63208.84103583421
34,Aus,Aus,1.000 kWp,Luft/Wasser 200,Normal weiter,0%,55,Jetzt Kalt,1288091.7882759245,241970.55969425142,3965920.2505070465,1589.6376666666667,396.8582623625034,0.0,4.064092488525966,840346.1867836439,183442.39036531694
35,Aus,Aus,1.000 kWp,Luft/Wasser 200,Normal weiter,0%,65,Jetzt Kalt,1229750.2137884728,234760.09954147166,4259901.801544062,1589.6376666666667,365.1441837814674,0.0,3.6349392074204365,840346.1867836439,132311.2760306451
36,Aus,Aus,1.000 kWp,Luft/Wasser 200,Normal weiter,0%,75,Jetzt Kalt,1176517.3060750067,224368.36375034525,4498209.337334159,1589.6376666666667,361.0,0.0,2.9782759869594857,840346.1867836439,89470.10410830555
37,Aus,Aus,1.500 kWp,Luft/Wasser 200,Normal weiter,0%,55,Jetzt Kalt,1200846.519749181,552982.2011344106,3953881.683530784,1589.6376666666667,389.22507595721055,0.0,4.014526302232475,1243566.8828795662,188406.1764943368
38,Aus,Aus,1.500 kWp,Luft/Wasser 200,Normal weiter,0%,65,Jetzt Kalt,1144811.6104494326,541331.3300643743,4235515.3212040225,1589.6376666666667,361.0,0.0,3.4917637190585826,1243566.8828795662,144022.1382646246
39,Aus,Aus,1.500 kWp,Luft/Wasser 200,Normal weiter,0%,75,Jetzt Kalt,1095498.397496781,524993.0576738727,4457431.863970056,1589.6376666666667,361.0,0.0,2.7300678892995474,1243566.8828795662,111047.19770247446
