,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
0,Ein,Aus,25 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1592718.4650258268,0.0,4681061.360491416,1453.5607777777777,380.4095820671183,0.0,0.0,110306.55997417314,0.0
1,Ein,Aus,500 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1246526.6498301334,39657.96631629724,4681061.360491416,1453.5607777777777,348.1726386002788,0.0,0.0,496156.34148616384,0.0
2,Ein,Aus,1.000 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1083237.7581064054,262218.85610456,4681061.360491416,1453.5607777777777,342.58,0.0,0.0,882006.1229981545,0.0
3,Ein,Aus,1.500 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1006259.3816039858,571090.261114131,4681061.360491416,1453.5607777777777,342.58,0.0,0.0,1267855.9045101453,0.0
4,Aus,Aus,25 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1670592.4619244514,0.0,4681061.360491416,1453.5607777777777,384.39018577612967,0.0,0.0,32432.56307554814,0.0
5,Aus,Aus,500 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1317972.6205625164,33229.940150055394,4681061.360491416,1453.5607777777777,351.0,0.0,0.0,418282.34458753886,0.0
6,Aus,Aus,1.000 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1143957.883226296,245064.98432582564,4681061.360491416,1453.5607777777777,351.0,0.0,0.0,804132.1260995297,0.0
7,Aus,Aus,1.500 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1061256.1241387438,548213.0067502642,4681061.360491416,1453.5607777777777,351.0,0.0,0.0,1189981.9076115203,0.0
8,Ein,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1592718.4650258268,0.0,4604322.649663689,1429.731912568306,380.4095820671183,0.0,0.0,110306.55997417314,0.0
9,Ein,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1246526.6498301334,39657.96631629724,4604322.649663689,1429.731912568306,348.1726386002788,0.0,0.0,496156.34148616384,0.0
10,Ein,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1083237.7581064054,262218.85610456,4604322.649663689,1429.731912568306,342.58,0.0,0.0,882006.1229981545,0.0
11,Ein,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1006259.3816039858,571090.261114131,4604322.649663689,1429.731912568306,342.58,0.0,0.0,1267855.9045101453,0.0
12,Aus,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1670592.4619244514,0.0,4604322.649663689,1429.731912568306,384.39018577612967,0.0,0.0,32432.56307554814,0.0
13,Aus,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1317972.6205625164,33229.940150055394,4604322.649663689,1429.731912568306,351.0,0.0,0.0,418282.34458753886,0.0
14,Aus,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1143957.883226296,245064.98432582564,4604322.649663689,1429.731912568306,351.0,0.0,0.0,804132.1260995297,0.0
15,Aus,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1061256.1241387438,548213.0067502642,4604322.649663689,1429.731912568306,351.0,0.0,0.0,1189981.9076115203,0.0
16,Ein,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,55,zukunft Kalt,1784737.356223661,0.0,3828622.632440849,1453.5607777777777,423.4752256336932,0.0,3.995413422396451,110306.55997417314,192018.89119783425
17,Ein,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,65,zukunft Kalt,1710660.8145114416,0.0,4189822.9617172964,1453.5607777777777,391.6658087913356,0.0,3.7485649626696,110306.55997417314,117942.3494856148
18,Ein,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,75,zukunft Kalt,1645106.5868282835,0.0,4482390.483777975,1453.5607777777777,380.4095820671183,0.0,3.413059733584741,110306.55997417314,52388.121802456524
19,Ein,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,55,zukunft Kalt,1427386.8546374834,27894.576771261476,3826777.121680073,1453.5607777777777,402.2614120270669,0.0,3.991493448739539,496156.34148616384,192623.59435238555
20,Ein,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,65,zukunft Kalt,1352952.9700264486,26044.0404156113,4184248.5896303826,1453.5607777777777,348.1726386002788,0.0,3.7248465270024087,496156.34148616384,120040.24609700157
