,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
0,Ein,Aus,25 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1592718.4650258268,0.0,4681061.360491416,1453.5607777777777,380.4095820671183,0.0,0.0,110306.55997417314,0.0
1,Ein,Aus,500 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1246526.6498301334,39657.96631629724,4681061.360491416,1453.5607777777777,348.1726386002788,0.0,0.0,496156.34148616384,0.0
2,Ein,Aus,1.000 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1083237.7581064054,262218.85610456,4681061.360491416,1453.5607777777777,342.58,0.0,0.0,882006.1229981545,0.0
3,Ein,Aus,1.500 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1006259.3816039858,571090.261114131,4681061.360491416,1453.5607777777777,342.58,0.0,0.0,1267855.9045101453,0.0
4,Aus,Aus,25 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1670592.4619244514,0.0,4681061.360491416,1453.5607777777777,384.39018577612967,0.0,0.0,32432.56307554814,0.0
5,Aus,Aus,500 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1317972.6205625164,33229.940150055394,4681061.360491416,1453.5607777777777,351.0,0.0,0.0,418282.34458753886,0.0
6,Aus,Aus,1.000 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1143957.883226296,245064.98432582564,4681061.360491416,1453.5607777777777,351.0,0.0,0.0,804132.1260995297,0.0
7,Aus,Aus,1.500 kWp,Aus,Normal weiter,0%,0,zukunft Kalt,1061256.1241387438,548213.0067502642,4681061.360491416,1453.5607777777777,351.0,0.0,0.0,1189981.9076115203,0.0
8,Ein,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1592718.4650258268,0.0,4604322.649663689,1429.731912568306,380.4095820671183,0.0,0.0,110306.55997417314,0.0
9,Ein,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1246526.6498301334,39657.96631629724,4604322.649663689,1429.731912568306,348.1726386002788,0.0,0.0,496156.34148616384,0.0
10,Ein,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1083237.7581064054,262218.85610456,4604322.649663689,1429.731912568306,342.58,0.0,0.0,882006.1229981545,0.0
11,Ein,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1006259.3816039858,571090.261114131,4604322.649663689,1429.731912568306,342.58,0.0,0.0,1267855.9045101453,0.0
12,Aus,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1670592.4619244514,0.0,4604322.649663689,1429.731912568306,384.39018577612967,0.0,0.0,32432.56307554814,0.0
13,Aus,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1317972.6205625164,33229.940150055394,4604322.649663689,1429.731912568306,351.0,0.0,0.0,418282.34458753886,0.0
14,Aus,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1143957.883226296,245064.98432582564,4604322.649663689,1429.731912568306,351.0,0.0,0.0,804132.1260995297,0.0
15,Aus,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Kalt,1061256.1241387438,548213.0067502642,4604322.649663689,1429.731912568306,351.0,0.0,0.0,1189981.9076115203,0.0
16,Ein,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,45,zukunft Kalt,1877178.0451241883,0.0,3337453.9065893088,1453.5607777777777,421.416844360379,0.0,4.2510317567569995,110306.55997417314,284459.58009836165
17,Ein,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,45,zukunft Kalt,1520675.6354759072,29347.216730711225,3337453.392634543,1453.5607777777777,404.0385838641756,0.0,4.25103106451135,496156.34148616384,284459.73523136
18,Ein,Aus,1.000 kWp,Luft/Wasser 200,Normal weiter,0%,45,zukunft Kalt,1332444.2162310334,226432.12978034726,3335811.4899618765,1453.5607777777777,401.8899976253427,0.0,4.24825907966204,882006.1229981545,284993.1844488407
19,Ein,Aus,1.500 kWp,Luft/Wasser 200,Normal weiter,0%,45,zukunft Kalt,1240918.5202857992,519137.26638656907,3330902.161393758,1453.5607777777777,401.8899976253427,0.0,4.239678427892206,1267855.9045101453,286612.13340937544
20,Aus,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,45,zukunft Kalt,1955052.0420228133,0.0,3337453.9065893088,1453.5607777777777,423.2953224172716,0.0,4.2510317567569995,32432.56307554814,284459.58009836165
