,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
0,Ein,Aus,25 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1591246.233509575,0.0,4794283.406908083,1589.6376666666667,381.6094660927531,0.0,0.0,111778.79149042476,0.0
1,Ein,Aus,500 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1234665.9101047926,46640.37269113929,4794283.406908083,1589.6376666666667,353.56,0.0,0.0,514999.48758634686,0.0
2,Ein,Aus,1.000 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1083874.1087380773,299069.2674203463,4794283.406908083,1589.6376666666667,353.56,0.0,0.0,918220.1836822691,0.0
3,Ein,Aus,1.500 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1012504.6973326447,630920.5521108357,4794283.406908083,1589.6376666666667,353.56,0.0,0.0,1321440.8797781912,0.0
4,Aus,Aus,25 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1669120.2304082003,0.0,4794283.406908083,1589.6376666666667,386.1185369911444,0.0,0.0,33904.79459179975,0.0
5,Aus,Aus,500 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1304907.6538289364,39008.11951665823,4794283.406908083,1589.6376666666667,361.0,0.0,0.0,437125.4906877218,0.0
6,Aus,Aus,1.000 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1144290.4283866188,281611.590170263,4794283.406908083,1589.6376666666667,361.0,0.0,0.0,840346.1867836439,0.0
7,Aus,Aus,1.500 kWp,Aus,Normal weiter,0%,0,Jetzt Kalt,1068397.31528316,608939.173162726,4794283.406908083,1589.6376666666667,361.0,0.0,0.0,1243566.8828795662,0.0
8,Ein,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1591246.233509575,0.0,4715688.5969587695,1563.5780327868854,381.6094660927531,0.0,0.0,111778.79149042476,0.0
9,Ein,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1234665.9101047926,46640.37269113929,4715688.5969587695,1563.5780327868854,353.56,0.0,0.0,514999.48758634686,0.0
10,Ein,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1083874.1087380773,299069.2674203463,4715688.5969587695,1563.5780327868854,353.56,0.0,0.0,918220.1836822691,0.0
11,Ein,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1012504.6973326447,630920.5521108357,4715688.5969587695,1563.5780327868854,353.56,0.0,0.0,1321440.8797781912,0.0
12,Aus,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1669120.2304082003,0.0,4715688.5969587695,1563.5780327868854,386.1185369911444,0.0,0.0,33904.79459179975,0.0
13,Aus,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1304907.6538289364,39008.11951665823,4715688.5969587695,1563.5780327868854,361.0,0.0,0.0,437125.4906877218,0.0
14,Aus,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1144290.4283866188,281611.590170263,4715688.5969587695,1563.5780327868854,361.0,0.0,0.0,840346.1867836439,0.0
15,Aus,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Kalt,1068397.31528316,608939.173162726,4715688.5969587695,1563.5780327868854,361.0,0.0,0.0,1243566.8828795662,0.0
16,Ein,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Kalt,1840377.4898778102,0.0,3588712.942502297,1589.6376666666667,431.3173259853951,0.0,4.355187838660738,111778.79149042476,249131.25636823487
17,Ein,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Kalt,1471857.230664635,34640.70023051546,3588523.8289555567,1589.6376666666667,416.8621060098539,0.0,4.354826821803087,514999.48758634686,249190.99302046656
18,Ein,Aus,1.000 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Kalt,1299231.6023309499,263440.22501178493,3583167.7585225613,1589.6376666666667,416.8621060098539,0.0,4.342878709401136,918220.1836822691,250986.53600143397
19,Ein,Aus,1.500 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Kalt,1216555.8311091692,581737.2484482542,3576519.7148577496,1589.6376666666667,416.8621060098539,0.0,4.327955288896472,1321440.8797781912,253234.43743910574
20,Aus,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Kalt,1918251.4867764348,0.0,3588712.942502297,1589.6376666666667,445.21732598539506,0.0,4.355187838660738,33904.79459179975,249131.25636823487
21,Aus,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Kalt,1543493.2251448322,28402.697812087295,3588523.8289555567,1589.6376666666667,424.3021060098539,0.0,4.354826821803087,437125.4906877218,249190.99302046656
22,Aus,Aus,1.000 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Kalt,1360989.0862363125,247494.98855114615,3583683.5502840583,1589.6376666666667,424.3021060098539,0.0,4.343993556329499,840346.1867836439,250815.25946881002
23,Aus,Aus,1.500 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Kalt,1273658.040949206,561319.071692711,3577572.921244197,1589.6376666666667,424.3021060098539,0.0,4.330258839703639,1243566.8828795662,252880.82713606147
24,Ein,Aus,25 kWp,Luft/Wasser 200,Zwei-Stoff-Brenner,0%,45,Jetzt Kalt,1840377.4898778102,0.0,3529881.5827891445,1563.5780327868854,431.3173259853951,0.0,4.355187838660738,111778.79149042476,249131.25636823487
25,Ein,Aus,500 kWp,Luft/Wasser 200,Zwei-Stoff-Brenner,0%,45,Jetzt Kalt,1471857.230664635,34640.70023051546,3529695.5694644814,1563.5780327868854,416.8621060098539,0.0,4.354826821803087,514999.48758634686,249190.99302046656
26,Ein,Aus,1.000 kWp,Luft/Wasser 200,Zwei-Stoff-Brenner,0%,45,Jetzt Kalt,1299231.6023309499,263440.22501178493,3524427.303464814,1563.5780327868854,416.8621060098539,0.0,4.342878709401136,918220.1836822691,250986.53600143397
27,Ein,Aus,1.500 kWp,Luft/Wasser 200,Zwei-Stoff-Brenner,0%,45,Jetzt Kalt,1216555.8311091692,581737.2484482542,3517888.244122376,1563.5780327868854,416.8621060098539,0.0,4.327955288896472,1321440.8797781912,253234.43743910574
28,Aus,Aus,25 kWp,Luft/Wasser 200,Zwei-Stoff-Brenner,0%,45,Jetzt Kalt,1918251.4867764348,0.0,3529881.5827891445,1563.5780327868854,445.21732598539506,0.0,4.355187838660738,33904.79459179975,249131.25636823487
29,Aus,Aus,500 kWp,Luft/Wasser 200,Zwei-Stoff-Brenner,0%,45,Jetzt Kalt,1543493.2251448322,28402.697812087295,3529695.5694644814,1563.5780327868854,424.3021060098539,0.0,4.354826821803087,437125.4906877218,249190.99302046656
30,Aus,Aus,1.000 kWp,Luft/Wasser 200,Zwei-Stoff-Brenner,0%,45,Jetzt Kalt,1360989.0862363125,247494.98855114615,3524934.639623664,1563.5780327868854,424.3021060098539,0.0,4.343993556329499,840346.1867836439,250815.25946881002
31,Aus,Aus,1.500 kWp,Luft/Wasser 200,Zwei-Stoff-Brenner,0%,45,Jetzt Kalt,1273658.040949206,561319.071692711,3518924.1848303564,1563.5780327868854,424.3021060098539,0.0,4.330258839703639,1243566.8828795662,252880.82713606147
32,Ein,Aus,25 kWp,Luft/Wasser 400,Normal weiter,0%,45,Jetzt Kalt,2019257.5410126196,0.0,2824677.6771610193,1589.6376666666667,509.99958777481515,0.0,4.141584873338303,111778.79149042476,428011.30750304443
33,Ein,Aus,500 kWp,Luft/Wasser 400,Normal weiter,0%,45,Jetzt Kalt,1648550.8275912309,32454.246022301224,2824488.5636142786,1589.6376666666667,493.81899525068536,0.0,4.141404524248463,514999.48758634686,428071.0441552762
34,Ein,Aus,1.000 kWp,Luft/Wasser 400,Normal weiter,0%,45,Jetzt Kalt,1467458.9483691417,252472.55907208935,2818149.387339372,1589.6376666666667,493.81899525068536,0.0,4.134348918418355,918220.1836822691,430181.54797932116
35,Ein,Aus,1.500 kWp,Luft/Wasser 400,Normal weiter,0%,45,Jetzt Kalt,1378645.996883242,562747.6107703741,2805843.918936188,1589.6376666666667,493.81899525068536,0.0,4.120508541242147,1321440.8797781912,434314.2408910585
36,Aus,Aus,25 kWp,Luft/Wasser 400,Normal weiter,0%,45,Jetzt Kalt,2097131.5379112444,0.0,2824677.6771610193,1589.6376666666667,511.0995877748152,0.0,4.141584873338303,33904.79459179975,428011.30750304443
37,Aus,Aus,500 kWp,Luft/Wasser 400,Normal weiter,0%,45,Jetzt Kalt,1720396.8029807773,26426.224513222885,2824488.5636142786,1589.6376666666667,494.7799952506854,0.0,4.141404524248463,437125.4906877218,428071.0441552762
38,Aus,Aus,1.000 kWp,Luft/Wasser 400,Normal weiter,0%,45,Jetzt Kalt,1529659.2304073435,236971.60491819572,2818669.9437365257,1589.6376666666667,494.7799952506854,0.0,4.134920423675969,840346.1867836439,430008.7872727917
