sep=,
"Time","Gesamtverbrauch der Hochschule in kW","Netzbezug der Hochschule in kW"
1577833200000,150.33873173333333,49.196906333333324
1577834100000,150.15838593333334,49.05126686666666
1577835000000,152.4045636666667,50.8404892
1577835900000,151.5042786,48.96444853333334
1577836800000,149.74753793333332,47.298066
1577837700000,151.42399766666668,49.622785266666675
1577838600000,148.04387971428574,44.08059721428572
1577839500000,150.89269086666667,48.11263133333333
1577840400000,151.5166564,50.06304459999999
1577841300000,148.61902993333334,47.0772794
1577842200000,149.90540686666665,48.710406733333336
1577843100000,149.58710553333333,48.4366502
1577844000000,151.94104986666667,50.781684466666675
1577844900000,150.7704234666667,49.39730186666667
1577845800000,153.061898,51.85303639999999
1577846700000,147.93804946666666,45.649395399999996
1577847600000,155.0823195333333,52.73331573333334
1577848500000,151.2359858,47.927040000000005
1577849400000,152.0876317333333,48.25947326666667
1577850300000,152.52124026666667,48.66542273333334
1577851200000,150.6549666,48.248031066666655
1577852100000,150.2585228,48.273109733333335
1577853000000,150.21620219999997,48.4571596
1577853900000,152.4583266666667,50.42163126666666
1577854800000,153.350598,52.099777533333324
1577855700000,155.89512913333334,54.5998636
1577856600000,172.29432020000002,70.6580578
1577857500000,169.09611426666666,66.79679446666665
1577858400000,179.98827020000002,77.62553293333335
1577859300000,173.4309824666667,71.08598893333333
1577860200000,178.89584473333335,77.18812566666666
1577861100000,174.02459813333334,72.61940853333334
1577862000000,196.9118542666667,95.75432119999999
1577862900000,227.5432415333334,126.40933633333336
1577863800000,205.7951615333333,104.66617606666667
1577864700000,194.56672046666665,93.40107766666668
1577865600000,192.4650982,91.34082819999999
1577866500000,195.89930473333334,94.57551400000001
1577867400000,189.09563693333337,86.60560920000002
1577868300000,195.11850826666662,91.93984593333334
1577869200000,192.55080506666673,89.1483668
1577870100000,197.57013700000002,94.03792473333333
1577871000000,201.01831593333335,97.49642093333331
1577871900000,199.79238726666668,95.15702946666669
1577872800000,204.08781299999998,99.39883986666668
1577873700000,206.30867946666666,100.28491166666666
1577874600000,213.63050533333336,109.63734086666666
1577875500000,211.56529980000002,106.3222944
1577876400000,193.23567199999994,88.38407260000001
1577877300000,191.33255579999997,86.20909326666667
1577878200000,188.69821786666665,83.27542813333334
1577879100000,193.7335948,89.05178793333333
1577880000000,195.60712099999998,91.01456093333333
1577880900000,200.3786489333333,96.51531320000001
1577881800000,203.3634474,99.570449
1577882700000,198.5203487333333,95.20925866666666
1577883600000,200.6622126,96.1855038
1577884500000,197.28905553333334,93.46594273333334
1577885400000,205.4343287333333,102.26854733333332
1577886300000,199.04924433333335,95.11676060000003
1577887200000,203.4729016,99.90851519999998
1577888100000,202.9374554,98.94340820000002
1577889000000,187.64026653333335,84.23678420000002
1577889900000,196.84688406666672,93.35214419999997
1577890800000,194.228693,90.51983866666666
1577891700000,193.30565053333336,88.68558686666667
1577892600000,198.2256191428571,91.46000014285714
1577893500000,204.35862099999997,98.85061539999998
1577894400000,202.83639326666668,99.80892933333332
1577895300000,203.72894813333332,97.69442593333333
1577896200000,209.68369553333332,105.7601112
1577897100000,203.0864018,100.25810946666665
1577898000000,197.25442693333335,93.7564944
1577898900000,193.7668167333333,89.48697820000001
1577899800000,194.45758506666667,89.50046253333332
1577900700000,193.30270346666666,89.09813566666666
1577901600000,195.89197813333337,91.5925176
1577902500000,199.6047750666667,94.05550819999999
1577903400000,158.93456606666666,50.32897306666667
1577904300000,159.70024860000007,51.31696186666667
1577905200000,154.7795472,42.918508333333335
1577906100000,162.33217226666667,48.98879553333334
1577907000000,163.15593320000005,48.78238286666667
1577907900000,158.51161580000002,50.02809800000001
1577908800000,160.6803601333333,57.13582646666668
1577909700000,156.92872780000002,53.167861333333335
1577910600000,156.71409306666666,53.20095626666667
1577911500000,152.319916,49.5426082
1577912400000,155.3992022666667,53.01085953333334
1577913300000,160.8979864,55.97440626666666
1577914200000,149.88191766666665,44.420682199999995
1577915100000,154.57015766666666,44.837137999999996
1577916000000,152.17656093333332,46.429136666666665
1577916900000,152.26477519999997,46.33060113333333
1577917800000,150.50363906666664,47.34876546666667
1577918700000,156.16609406666663,51.437444
1577919600000,153.35053586666666,47.01422013333333
1577920500000,153.50989833333333,48.731544933333325
1577921400000,158.79602406666666,53.80102899999999
1577922300000,152.2358476,47.16275899999999
1577923200000,151.264858,48.352562000000006
1577924100000,150.83472693333334,48.10101693333333
1577925000000,153.50261626666668,51.13370033333334
1577925900000,149.30845193333332,45.41642373333333
1577926800000,155.45788493333333,47.21693246666668
1577927700000,152.09838033333335,43.64136580000001
1577928600000,149.58165926666666,44.30303893333334
1577929500000,155.70173766666667,51.396556733333334
1577930400000,156.33422240000002,53.54552066666667
1577931300000,151.2904646,47.34838833333333
1577932200000,149.99524200000002,45.11588466666667
1577933100000,153.46106633333332,46.86036173333333
1577934000000,154.53186806666665,46.65773399999999
1577934900000,152.3430532,48.075867933333335
1577935800000,159.8856568666667,55.12718493333333
1577936700000,166.0581189333333,61.0560928
1577937600000,203.04018773333334,96.65967440000001
1577938500000,190.24981993333333,85.31798893333331
1577939400000,182.83907660000003,77.76278093333333
1577940300000,179.75051320000003,72.68154406666666
1577941200000,186.73377480000002,81.08596846666666
1577942100000,187.78065720000004,83.05400513333333
1577943000000,202.08794593333334,96.07990706666666
1577943900000,197.9075872,90.61292819999998
1577944800000,210.22374873333334,100.144289
1577945700000,211.6279956666667,102.4610632
1577946600000,213.7763722,106.4423262
1577947500000,206.38034033333332,95.58969180000001
1577948400000,236.04807166666666,124.73489586666665
1577949300000,249.52652760000004,141.16222146666667
1577950200000,248.59899766666663,141.37159233333335
1577951100000,240.04884826666665,134.3667717333333
1577952000000,230.98134239999996,126.11430086666664
1577952900000,241.57735666666665,133.4406523333333
1577953800000,237.95714339999995,132.72055313333334
1577954700000,248.31887493333338,142.14684513333336
1577955600000,245.63015353333336,136.1361044
1577956500000,255.74150866666662,149.69675553333335
1577957400000,248.2551591333333,138.13330753333332
1577958300000,249.41434259999997,137.45872773333335
1577959200000,254.3173438,144.64583766666664
1577960100000,252.57987640000002,141.73107846666667
1577961000000,267.6947136,162.21364106666664
1577961900000,260.7292468,151.21549599999997
1577962800000,241.01140093333336,134.05906373333335
1577963700000,239.72976960000003,120.86099839999997
1577964600000,245.88642726666666,127.492416
1577965500000,244.42248953333336,123.69308033333333
1577966400000,241.63378980000002,118.93636146666664
1577967300000,244.451102,126.07299986666666
1577968200000,240.06601346666667,104.2333628
1577969100000,244.08363280000003,108.10329900000002
1577970000000,244.06521846666664,109.2638427333333
1577970900000,243.73717613333332,99.037291
1577971800000,247.62938766666667,107.64705686666666
1577972700000,241.01142026666668,102.48959733333332
1577973600000,242.11907006666667,114.27427966666667
1577974500000,237.35907093333333,109.66584086666667
1577975400000,239.01905926666663,109.07947593333333
1577976300000,235.1047952,106.90439313333331
1577977200000,224.12605113333333,98.37335746666666
1577978100000,223.13079673333334,93.6117184
