Time,Temperatur in °C
01.01.2022 01:00:00,"10,9"
02.01.2022 01:00:00,"10,3"
03.01.2022 01:00:00,"8,89"
04.01.2022 01:00:00,"5,35"
05.01.2022 01:00:00,"4,93"
06.01.2022 01:00:00,"3,7"
07.01.2022 01:00:00,"3,33"
08.01.2022 01:00:00,"2,38"
09.01.2022 01:00:00,"5,08"
10.01.2022 01:00:00,"2,95"
11.01.2022 01:00:00,"1,32"
12.01.2022 01:00:00,"3,77"
13.01.2022 01:00:00,"6,12"
14.01.2022 01:00:00,"6,45"
15.01.2022 01:00:00,"4,5"
16.01.2022 01:00:00,"4,73"
17.01.2022 01:00:00,"6,77"
18.01.2022 01:00:00,"5,63"
19.01.2022 01:00:00,"4,75"
20.01.2022 01:00:00,"2,97"
21.01.2022 01:00:00,"4,74"
22.01.2022 01:00:00,"5,99"
23.01.2022 01:00:00,"5,85"
24.01.2022 01:00:00,"4,82"
25.01.2022 01:00:00,"3,81"
26.01.2022 01:00:00,"3,93"
27.01.2022 01:00:00,"6,39"
28.01.2022 01:00:00,"5,79"
29.01.2022 01:00:00,"8,4"
30.01.2022 01:00:00,"5,38"
31.01.2022 01:00:00,"4,38"
01.02.2022 01:00:00,"6,24"
02.02.2022 01:00:00,"6,02"
03.02.2022 01:00:00,"7,2"
04.02.2022 01:00:00,"5,94"
05.02.2022 01:00:00,"5,3"
06.02.2022 01:00:00,"6,11"
07.02.2022 01:00:00,"5,58"
08.02.2022 01:00:00,"8,26"
09.02.2022 01:00:00,"8,16"
10.02.2022 01:00:00,"5,9"
11.02.2022 01:00:00,"4,16"
12.02.2022 01:00:00,"2,59"
13.02.2022 01:00:00,"4,5"
14.02.2022 01:00:00,"8,53"
15.02.2022 01:00:00,"6,79"
16.02.2022 01:00:00,"9,53"
17.02.2022 01:00:00,"7,4"
18.02.2022 01:00:00,"6,44"
19.02.2022 01:00:00,"4,64"
20.02.2022 01:00:00,"6,37"
21.02.2022 01:00:00,"4,99"
22.02.2022 01:00:00,"6,01"
23.02.2022 01:00:00,"7,32"
24.02.2022 01:00:00,"5,72"
25.02.2022 01:00:00,"4,7"
26.02.2022 01:00:00,"4,87"
27.02.2022 01:00:00,"3,91"
28.02.2022 01:00:00,"4,62"
01.03.2022 01:00:00,"4,3"
02.03.2022 01:00:00,"4,5"
03.03.2022 01:00:00,"3,76"
04.03.2022 01:00:00,"2,33"
05.03.2022 01:00:00,"2,26"
06.03.2022 01:00:00,"2,86"
07.03.2022 01:00:00,"4,44"
08.03.2022 01:00:00,"5,25"
09.03.2022 01:00:00,"6,93"
10.03.2022 01:00:00,"8,1"
11.03.2022 01:00:00,"6,18"
12.03.2022 01:00:00,"8,42"
13.03.2022 01:00:00,"8,81"
14.03.2022 01:00:00,"8,09"
15.03.2022 01:00:00,"7,29"
16.03.2022 01:00:00,"8,94"
17.03.2022 01:00:00,"8,06"
18.03.2022 01:00:00,"7,93"
19.03.2022 01:00:00,"7,1"
20.03.2022 01:00:00,"7,5"
21.03.2022 01:00:00,"9,64"
22.03.2022 01:00:00,"12,2"
23.03.2022 01:00:00,"12,3"
24.03.2022 01:00:00,"9,74"
25.03.2022 01:00:00,"8,57"
26.03.2022 01:00:00,"8,19"
27.03.2022 01:00:00,"7,69"
28.03.2022 02:00:00,"6,33"
