Time,Temperatur in °C
01.01.2019 01:00:00,"7,06"
02.01.2019 01:00:00,"5,14"
03.01.2019 01:00:00,"3,96"
04.01.2019 01:00:00,"5,58"
05.01.2019 01:00:00,"7,25"
06.01.2019 01:00:00,"6,59"
07.01.2019 01:00:00,"6,94"
08.01.2019 01:00:00,"6,52"
09.01.2019 01:00:00,"4,08"
10.01.2019 01:00:00,"2,76"
11.01.2019 01:00:00,"6,69"
12.01.2019 01:00:00,"6,87"
13.01.2019 01:00:00,"7,51"
14.01.2019 01:00:00,"4,15"
15.01.2019 01:00:00,"6,46"
16.01.2019 01:00:00,"6,46"
17.01.2019 01:00:00,"3,43"
18.01.2019 01:00:00,"1,86"
19.01.2019 01:00:00,"-0,619"
20.01.2019 01:00:00,"-2,17"
21.01.2019 01:00:00,"-1,04"
22.01.2019 01:00:00,"-1,07"
23.01.2019 01:00:00,"-3,33"
24.01.2019 01:00:00,"-5,07"
25.01.2019 01:00:00,"-3,33"
26.01.2019 01:00:00,"5,44"
27.01.2019 01:00:00,"4,93"
28.01.2019 01:00:00,"2,68"
29.01.2019 01:00:00,"1,58"
30.01.2019 01:00:00,"0,0677"
31.01.2019 01:00:00,"-0,378"
01.02.2019 01:00:00,"-0,43"
02.02.2019 01:00:00,"1,04"
03.02.2019 01:00:00,"2,62"
04.02.2019 01:00:00,"1,55"
05.02.2019 01:00:00,"4,27"
06.02.2019 01:00:00,"4,27"
07.02.2019 01:00:00,"6,78"
08.02.2019 01:00:00,"6,96"
09.02.2019 01:00:00,"7,83"
10.02.2019 01:00:00,"5,65"
11.02.2019 01:00:00,"5,51"
12.02.2019 01:00:00,"5,56"
13.02.2019 01:00:00,"6,91"
14.02.2019 01:00:00,"4,3"
19.02.2019 01:00:00,"7,25"
20.02.2019 01:00:00,"7,8"
21.02.2019 01:00:00,"7,77"
22.02.2019 01:00:00,"7,16"
23.02.2019 01:00:00,"4,86"
24.02.2019 01:00:00,"6,44"
25.02.2019 01:00:00,"8,13"
26.02.2019 01:00:00,"9,5"
27.02.2019 01:00:00,"9,77"
28.02.2019 01:00:00,"5,67"
01.03.2019 01:00:00,"5,46"
02.03.2019 01:00:00,"6,69"
03.03.2019 01:00:00,"9,74"
04.03.2019 01:00:00,"8,1"
05.03.2019 01:00:00,"6,54"
06.03.2019 01:00:00,"8,12"
07.03.2019 01:00:00,"8,74"
08.03.2019 01:00:00,"6,89"
09.03.2019 01:00:00,"6,9"
10.03.2019 01:00:00,"4,29"
11.03.2019 01:00:00,"4,28"
12.03.2019 01:00:00,"5,48"
13.03.2019 01:00:00,"6,1"
14.03.2019 01:00:00,"6,6"
15.03.2019 01:00:00,"7,64"
16.03.2019 01:00:00,"8,12"
17.03.2019 01:00:00,"6,82"
18.03.2019 01:00:00,"5,68"
19.03.2019 01:00:00,"6,43"
20.03.2019 01:00:00,"8,23"
21.03.2019 01:00:00,"9,05"
22.03.2019 01:00:00,"10,7"
23.03.2019 01:00:00,"7,11"
24.03.2019 01:00:00,"6,55"
25.03.2019 01:00:00,"6,1"
26.03.2019 01:00:00,"6,7"
27.03.2019 01:00:00,"7,88"
28.03.2019 01:00:00,"9,5"
29.03.2019 01:00:00,"10,8"
30.03.2019 01:00:00,"9,97"
31.03.2019 01:00:00,"6,23"
01.04.2019 02:00:00,"6,38"
02.04.2019 02:00:00,"9,21"
03.04.2019 02:00:00,"7,97"
04.04.2019 02:00:00,"6,16"
05.04.2019 02:00:00,"6,55"
06.04.2019 02:00:00,"11,8"
07.04.2019 02:00:00,"14,3"
08.04.2019 02:00:00,"10,9"
09.04.2019 02:00:00,"6,96"
10.04.2019 02:00:00,"4,22"
11.04.2019 02:00:00,"5,03"
12.04.2019 02:00:00,"4,29"
13.04.2019 02:00:00,"2,35"
14.04.2019 02:00:00,"5,29"
15.04.2019 02:00:00,"9,1"
16.04.2019 02:00:00,"9,35"
17.04.2019 02:00:00,"12,7"
18.04.2019 02:00:00,"14,3"
19.04.2019 02:00:00,"15,3"
20.04.2019 02:00:00,"14,6"
21.04.2019 02:00:00,14
22.04.2019 02:00:00,"16,2"
23.04.2019 02:00:00,"15,8"
24.04.2019 02:00:00,"17,8"
25.04.2019 02:00:00,"14,9"
26.04.2019 02:00:00,"12,1"
27.04.2019 02:00:00,10
28.04.2019 02:00:00,"8,76"
29.04.2019 02:00:00,"8,27"
30.04.2019 02:00:00,"9,28"
01.05.2019 02:00:00,"8,81"
02.05.2019 02:00:00,"9,47"
03.05.2019 02:00:00,"6,71"
04.05.2019 02:00:00,"6,4"
05.05.2019 02:00:00,"7,27"
06.05.2019 02:00:00,"6,93"
07.05.2019 02:00:00,"7,61"
08.05.2019 02:00:00,"9,55"
09.05.2019 02:00:00,"11,9"
10.05.2019 02:00:00,"9,11"
11.05.2019 02:00:00,"8,45"
12.05.2019 02:00:00,"8,72"
13.05.2019 02:00:00,"8,72"
14.05.2019 02:00:00,"9,97"
15.05.2019 02:00:00,11
16.05.2019 02:00:00,"11,2"
17.05.2019 02:00:00,"12,4"
18.05.2019 02:00:00,17
19.05.2019 02:00:00,"16,8"
20.05.2019 02:00:00,"14,1"
21.05.2019 02:00:00,"11,9"
22.05.2019 02:00:00,"11,8"
23.05.2019 02:00:00,"14,7"
24.05.2019 02:00:00,"13,9"
25.05.2019 02:00:00,"11,6"
26.05.2019 02:00:00,"14,9"
27.05.2019 02:00:00,"13,5"
28.05.2019 02:00:00,11
29.05.2019 02:00:00,"13,2"
30.05.2019 02:00:00,16
31.05.2019 02:00:00,"18,1"
01.06.2019 02:00:00,"16,9"
02.06.2019 02:00:00,"22,7"
03.06.2019 02:00:00,"17,6"
04.06.2019 02:00:00,19
05.06.2019 02:00:00,"19,4"
06.06.2019 02:00:00,"15,8"
07.06.2019 02:00:00,17
08.06.2019 02:00:00,"14,8"
09.06.2019 02:00:00,"15,2"
10.06.2019 02:00:00,"17,2"
11.06.2019 02:00:00,"15,9"
12.06.2019 02:00:00,"15,5"
13.06.2019 02:00:00,"16,1"
14.06.2019 02:00:00,"18,9"
15.06.2019 02:00:00,"16,5"
16.06.2019 02:00:00,"16,8"
17.06.2019 02:00:00,"20,6"
18.06.2019 02:00:00,21
19.06.2019 02:00:00,"21,1"
20.06.2019 02:00:00,"16,4"
21.06.2019 02:00:00,"15,9"
22.06.2019 02:00:00,"16,3"
23.06.2019 02:00:00,"21,3"
24.06.2019 02:00:00,"24,4"
25.06.2019 02:00:00,"27,4"
26.06.2019 02:00:00,"17,8"
27.06.2019 02:00:00,"14,5"
28.06.2019 02:00:00,"15,6"
29.06.2019 02:00:00,22
30.06.2019 02:00:00,"20,9"
01.07.2019 02:00:00,"17,7"
02.07.2019 02:00:00,"14,9"
03.07.2019 02:00:00,"14,6"
04.07.2019 02:00:00,"16,3"
05.07.2019 02:00:00,"16,7"
06.07.2019 02:00:00,"15,5"
07.07.2019 02:00:00,"13,9"
08.07.2019 02:00:00,"13,1"
09.07.2019 02:00:00,"13,6"
10.07.2019 02:00:00,"14,4"
11.07.2019 02:00:00,"16,4"
12.07.2019 02:00:00,"16,9"
13.07.2019 02:00:00,"15,3"
14.07.2019 02:00:00,"14,4"
15.07.2019 02:00:00,"14,2"
16.07.2019 02:00:00,"14,9"
17.07.2019 02:00:00,"17,2"
18.07.2019 02:00:00,"18,6"
19.07.2019 02:00:00,"19,6"
20.07.2019 02:00:00,20
21.07.2019 02:00:00,"18,1"
22.07.2019 02:00:00,"20,1"
23.07.2019 02:00:00,"23,6"
24.07.2019 02:00:00,"28,1"
25.07.2019 02:00:00,"29,2"
26.07.2019 02:00:00,27
27.07.2019 02:00:00,"23,7"
28.07.2019 02:00:00,"23,1"
29.07.2019 02:00:00,"20,2"
30.07.2019 02:00:00,"22,5"
31.07.2019 02:00:00,"19,3"
01.08.2019 02:00:00,"18,6"
02.08.2019 02:00:00,"18,8"
03.08.2019 02:00:00,"18,1"
04.08.2019 02:00:00,"19,1"
05.08.2019 02:00:00,"19,9"
06.08.2019 02:00:00,"19,9"
07.08.2019 02:00:00,"19,1"
08.08.2019 02:00:00,19
09.08.2019 02:00:00,"17,9"
10.08.2019 02:00:00,"20,2"
11.08.2019 02:00:00,"18,9"
12.08.2019 02:00:00,"16,9"
13.08.2019 02:00:00,"14,5"
14.08.2019 02:00:00,"15,8"
15.08.2019 02:00:00,"16,8"
16.08.2019 02:00:00,"18,2"
17.08.2019 02:00:00,"17,8"
18.08.2019 02:00:00,"16,8"
19.08.2019 02:00:00,"17,2"
20.08.2019 02:00:00,"16,5"
21.08.2019 02:00:00,"17,2"
22.08.2019 02:00:00,"18,8"
23.08.2019 02:00:00,"19,3"
24.08.2019 02:00:00,"22,1"
25.08.2019 02:00:00,"23,5"
26.08.2019 02:00:00,"23,4"
27.08.2019 02:00:00,"26,1"
28.08.2019 02:00:00,"24,4"
29.08.2019 02:00:00,20
30.08.2019 02:00:00,"19,2"
31.08.2019 02:00:00,"21,7"
01.09.2019 02:00:00,"16,5"
02.09.2019 02:00:00,"15,6"
03.09.2019 02:00:00,"16,8"
04.09.2019 02:00:00,"15,9"
05.09.2019 02:00:00,"13,9"
06.09.2019 02:00:00,"13,6"
07.09.2019 02:00:00,14
08.09.2019 02:00:00,"14,1"
09.09.2019 02:00:00,"14,1"
10.09.2019 02:00:00,"14,3"
11.09.2019 02:00:00,"14,1"
12.09.2019 02:00:00,"17,5"
13.09.2019 02:00:00,"16,5"
14.09.2019 02:00:00,"15,1"
15.09.2019 02:00:00,"15,1"
16.09.2019 02:00:00,14
17.09.2019 02:00:00,13
18.09.2019 02:00:00,"12,7"
19.09.2019 02:00:00,"12,3"
20.09.2019 02:00:00,"12,9"
21.09.2019 02:00:00,"15,6"
22.09.2019 02:00:00,"18,2"
23.09.2019 02:00:00,"16,3"
24.09.2019 02:00:00,"15,7"
25.09.2019 02:00:00,"14,6"
26.09.2019 02:00:00,"15,6"
27.09.2019 02:00:00,"15,3"
28.09.2019 02:00:00,"14,7"
29.09.2019 02:00:00,"14,1"
30.09.2019 02:00:00,"14,2"
01.10.2019 02:00:00,"11,5"
02.10.2019 02:00:00,"11,3"
03.10.2019 02:00:00,"12,1"
04.10.2019 02:00:00,"9,29"
05.10.2019 02:00:00,"9,77"
06.10.2019 02:00:00,"8,21"
07.10.2019 02:00:00,"8,56"
08.10.2019 02:00:00,13
09.10.2019 02:00:00,"10,7"
10.10.2019 02:00:00,"11,4"
11.10.2019 02:00:00,"13,7"
12.10.2019 02:00:00,"11,9"
13.10.2019 02:00:00,"14,8"
14.10.2019 02:00:00,"13,8"
15.10.2019 02:00:00,"15,1"
16.10.2019 02:00:00,"13,3"
17.10.2019 02:00:00,"13,5"
18.10.2019 02:00:00,"12,4"
19.10.2019 02:00:00,"11,3"
20.10.2019 02:00:00,"10,9"
21.10.2019 02:00:00,"12,2"
22.10.2019 02:00:00,"12,3"
23.10.2019 02:00:00,"11,4"
24.10.2019 02:00:00,"13,7"
25.10.2019 02:00:00,"13,3"
26.10.2019 02:00:00,"15,9"
27.10.2019 02:00:00,"10,2"
28.10.2019 01:00:00,"9,13"
29.10.2019 01:00:00,"7,04"
30.10.2019 01:00:00,"5,11"
31.10.2019 01:00:00,"3,96"
01.11.2019 01:00:00,"4,08"
02.11.2019 01:00:00,"11,8"
03.11.2019 01:00:00,"10,8"
04.11.2019 01:00:00,"9,94"
05.11.2019 01:00:00,"9,15"
06.11.2019 01:00:00,"7,35"
07.11.2019 01:00:00,"6,07"
08.11.2019 01:00:00,"6,27"
09.11.2019 01:00:00,"4,9"
10.11.2019 01:00:00,"5,89"
11.11.2019 01:00:00,"4,25"
12.11.2019 01:00:00,"4,91"
13.11.2019 01:00:00,"5,57"
14.11.2019 01:00:00,"4,45"
15.11.2019 01:00:00,"4,36"
16.11.2019 01:00:00,"4,96"
17.11.2019 01:00:00,"4,32"
18.11.2019 01:00:00,"7,16"
19.11.2019 01:00:00,"6,68"
20.11.2019 01:00:00,"1,02"
21.11.2019 01:00:00,"2,21"
22.11.2019 01:00:00,"5,23"
23.11.2019 01:00:00,"7,06"
24.11.2019 01:00:00,"6,07"
25.11.2019 01:00:00,"5,28"
26.11.2019 01:00:00,"7,63"
27.11.2019 01:00:00,"9,5"
28.11.2019 01:00:00,"8,92"
29.11.2019 01:00:00,"5,93"
30.11.2019 01:00:00,"4,49"
01.12.2019 01:00:00,"3,49"
02.12.2019 01:00:00,"5,62"
03.12.2019 01:00:00,"6,11"
04.12.2019 01:00:00,"4,52"
05.12.2019 01:00:00,"2,46"
06.12.2019 01:00:00,"6,58"
07.12.2019 01:00:00,"8,78"
08.12.2019 01:00:00,"8,49"
09.12.2019 01:00:00,"6,4"
10.12.2019 01:00:00,"5,05"
11.12.2019 01:00:00,"5,66"
12.12.2019 01:00:00,"4,25"
13.12.2019 01:00:00,"2,83"
14.12.2019 01:00:00,"5,2"
15.12.2019 01:00:00,"6,34"
16.12.2019 01:00:00,"5,95"
17.12.2019 01:00:00,"8,78"
18.12.2019 01:00:00,"6,08"
19.12.2019 01:00:00,"8,73"
20.12.2019 01:00:00,"9,66"
21.12.2019 01:00:00,"7,68"
22.12.2019 01:00:00,"6,79"
23.12.2019 01:00:00,"7,63"
24.12.2019 01:00:00,"5,93"
25.12.2019 01:00:00,"6,06"
26.12.2019 01:00:00,"5,33"
27.12.2019 01:00:00,"2,61"
28.12.2019 01:00:00,"0,625"
29.12.2019 01:00:00,"1,5"
30.12.2019 01:00:00,"5,51"
31.12.2019 01:00:00,"5,68"
