"Time","Luftdruck in hPa","Globalstrahlung (SDE11) in W/m²","Direktstrahlung (SDE11) in W/m²","Globalstrahlung (CMP3) in W/m²"
01.01.2022 00:00:00,1016,0.629,-3.77,-1.51
01.01.2022 00:15:00,1016,0.612,-3.79,-1.92
01.01.2022 00:30:00,1016,0.617,-3.83,-2.43
01.01.2022 00:45:00,1016,0.598,-3.86,-2.04
01.01.2022 01:00:00,1016,0.564,-3.90,-2.97
01.01.2022 01:15:00,1016,0.581,-3.91,-1.00
01.01.2022 01:30:00,1016,0.563,-3.88,-1.49
01.01.2022 01:45:00,1016,0.591,-3.90,-1.07
01.01.2022 02:00:00,1017,0.582,-3.90,-1.03
01.01.2022 02:15:00,1017,0.548,-3.90,-0.809
01.01.2022 02:30:00,1017,0.564,-3.93,-0.989
01.01.2022 02:45:00,1017,0.533,-4.00,-3.35
01.01.2022 03:00:00,1017,0.482,-4.06,-3.49
01.01.2022 03:15:00,1017,0.464,-4.13,-3.50
01.01.2022 03:30:00,1017,0.477,-4.20,-3.66
01.01.2022 03:45:00,1017,0.421,-4.27,-3.44
01.01.2022 04:00:00,1017,0.439,-4.25,-1.42
01.01.2022 04:15:00,1017,0.477,-4.17,-0.540
01.01.2022 04:30:00,1017,0.482,-4.06,-0.239
01.01.2022 04:45:00,1018,0.514,-4.05,-0.310
01.01.2022 05:00:00,1017,0.502,-4.01,-0.320
01.01.2022 05:15:00,1017,0.536,-4.00,-0.451
01.01.2022 05:30:00,1017,0.486,-3.99,-0.672
01.01.2022 05:45:00,1017,0.528,-4.00,-0.894
01.01.2022 06:00:00,1017,0.503,-4.04,-1.07
01.01.2022 06:15:00,1017,0.508,-4.09,-1.31
01.01.2022 06:30:00,1018,0.490,-4.09,-0.456
01.01.2022 06:45:00,1018,0.519,-4.05,-0.492
01.01.2022 07:00:00,1018,0.528,-4.08,-0.463
01.01.2022 07:15:00,1018,0.512,-4.04,-0.541
01.01.2022 07:30:00,1018,0.507,-4.04,-0.377
01.01.2022 07:45:00,1018,0.527,-4.04,-0.329
01.01.2022 08:00:00,1018,0.538,-4.01,-0.344
