Time,Temperatur in °C
01.01.2021 01:00:00,"3,41"
02.01.2021 01:00:00,"3,77"
03.01.2021 01:00:00,"3,35"
04.01.2021 01:00:00,"2,28"
05.01.2021 01:00:00,"2,26"
06.01.2021 01:00:00,"1,24"
07.01.2021 01:00:00,"1,66"
08.01.2021 01:00:00,"1,42"
09.01.2021 01:00:00,"1,17"
10.01.2021 01:00:00,2
11.01.2021 01:00:00,"4,5"
12.01.2021 01:00:00,"4,4"
13.01.2021 01:00:00,"3,23"
14.01.2021 01:00:00,"0,837"
15.01.2021 01:00:00,"0,65"
16.01.2021 01:00:00,"0,47"
17.01.2021 01:00:00,"0,252"
18.01.2021 01:00:00,"3,88"
19.01.2021 01:00:00,"6,25"
20.01.2021 01:00:00,"7,84"
21.01.2021 01:00:00,"7,29"
22.01.2021 01:00:00,"4,06"
23.01.2021 01:00:00,"2,51"
24.01.2021 01:00:00,"1,33"
25.01.2021 01:00:00,"1,57"
26.01.2021 01:00:00,"2,69"
27.01.2021 01:00:00,"2,19"
28.01.2021 01:00:00,"1,6"
29.01.2021 01:00:00,"-0,258"
30.01.2021 01:00:00,"-2,28"
31.01.2021 01:00:00,"-2,97"
01.02.2021 01:00:00,"-3,06"
02.02.2021 01:00:00,"0,119"
03.02.2021 01:00:00,"2,7"
04.02.2021 01:00:00,"0,669"
05.02.2021 01:00:00,"0,928"
06.02.2021 01:00:00,"-0,567"
07.02.2021 01:00:00,"-4,27"
08.02.2021 01:00:00,"-2,5"
09.02.2021 01:00:00,"-2,78"
10.02.2021 01:00:00,"-2,94"
11.02.2021 01:00:00,"-2,88"
12.02.2021 01:00:00,"-4,8"
13.02.2021 01:00:00,"-4,64"
14.02.2021 01:00:00,"-3,11"
15.02.2021 01:00:00,"0,972"
16.02.2021 01:00:00,"4,13"
17.02.2021 01:00:00,"6,75"
18.02.2021 01:00:00,"7,82"
19.02.2021 01:00:00,"6,43"
20.02.2021 01:00:00,"10,5"
21.02.2021 01:00:00,"11,4"
22.02.2021 01:00:00,"10,9"
23.02.2021 01:00:00,"11,7"
24.02.2021 01:00:00,"12,6"
25.02.2021 01:00:00,"9,74"
26.02.2021 01:00:00,"5,28"
27.02.2021 01:00:00,"4,45"
28.02.2021 01:00:00,"2,21"
01.03.2021 01:00:00,"2,52"
02.03.2021 01:00:00,"5,87"
03.03.2021 01:00:00,"3,89"
04.03.2021 01:00:00,"3,03"
05.03.2021 01:00:00,"2,03"
06.03.2021 01:00:00,"3,22"
07.03.2021 01:00:00,"3,65"
08.03.2021 01:00:00,"3,21"
09.03.2021 01:00:00,"2,67"
10.03.2021 01:00:00,"4,77"
11.03.2021 01:00:00,"7,59"
12.03.2021 01:00:00,"5,74"
13.03.2021 01:00:00,"5,49"
14.03.2021 01:00:00,"5,73"
15.03.2021 01:00:00,"5,45"
16.03.2021 01:00:00,"5,14"
17.03.2021 01:00:00,"4,07"
18.03.2021 01:00:00,"3,58"
19.03.2021 01:00:00,"3,49"
20.03.2021 01:00:00,"3,65"
21.03.2021 01:00:00,"5,58"
22.03.2021 01:00:00,"5,57"
23.03.2021 01:00:00,"7,09"
24.03.2021 01:00:00,"8,68"
25.03.2021 01:00:00,"8,37"
26.03.2021 01:00:00,"9,58"
27.03.2021 01:00:00,"5,9"
28.03.2021 01:00:00,"8,08"
29.03.2021 02:00:00,"11,9"
30.03.2021 02:00:00,"13,5"
31.03.2021 02:00:00,15
01.04.2021 02:00:00,"6,94"
02.04.2021 02:00:00,"5,68"
03.04.2021 02:00:00,"5,91"
04.04.2021 02:00:00,"6,14"
05.04.2021 02:00:00,"2,82"
06.04.2021 02:00:00,"1,53"
07.04.2021 02:00:00,"3,15"
08.04.2021 02:00:00,"4,9"
09.04.2021 02:00:00,"5,75"
10.04.2021 02:00:00,"4,75"
11.04.2021 02:00:00,"3,33"
12.04.2021 02:00:00,"3,73"
13.04.2021 02:00:00,"4,78"
14.04.2021 02:00:00,"4,69"
15.04.2021 02:00:00,"5,3"
16.04.2021 02:00:00,"6,38"
17.04.2021 02:00:00,"6,97"
18.04.2021 02:00:00,"9,21"
19.04.2021 02:00:00,"10,4"
20.04.2021 02:00:00,"11,4"
21.04.2021 02:00:00,"7,36"
22.04.2021 02:00:00,"6,72"
23.04.2021 02:00:00,"7,25"
24.04.2021 02:00:00,"7,24"
25.04.2021 02:00:00,"6,82"
26.04.2021 02:00:00,6
27.04.2021 02:00:00,"8,04"
28.04.2021 02:00:00,"9,76"
29.04.2021 02:00:00,"8,37"
30.04.2021 02:00:00,"8,66"
01.05.2021 02:00:00,"8,33"
02.05.2021 02:00:00,"6,72"
03.05.2021 02:00:00,"7,91"
04.05.2021 02:00:00,"8,41"
05.05.2021 02:00:00,"6,76"
06.05.2021 02:00:00,"6,52"
07.05.2021 02:00:00,"7,21"
08.05.2021 02:00:00,"8,89"
09.05.2021 02:00:00,"18,2"
10.05.2021 02:00:00,"16,7"
11.05.2021 02:00:00,"12,7"
12.05.2021 02:00:00,"12,1"
13.05.2021 02:00:00,"10,1"
14.05.2021 02:00:00,"9,21"
15.05.2021 02:00:00,"10,6"
16.05.2021 02:00:00,11
17.05.2021 02:00:00,"11,3"
18.05.2021 02:00:00,"11,3"
19.05.2021 02:00:00,11
20.05.2021 02:00:00,"12,6"
21.05.2021 02:00:00,"12,8"
22.05.2021 02:00:00,"10,6"
23.05.2021 02:00:00,"10,7"
24.05.2021 02:00:00,"12,1"
25.05.2021 02:00:00,"9,5"
26.05.2021 02:00:00,"10,4"
27.05.2021 02:00:00,"11,1"
28.05.2021 02:00:00,"11,6"
29.05.2021 02:00:00,"11,1"
30.05.2021 02:00:00,"11,6"
