"Time","Gesamtverbrauch der Hochschule in kW","Netzbezug der Hochschule in kW"
1609455600000,164.12751900000004,61.93715557142858
1609456500000,168.5163792,66.79525073333333
1609457400000,167.69540306666667,66.42367633333333
1609458300000,167.1349558,65.72319233333333
1609459200000,172.66503093333333,71.16636053333333
1609460100000,164.99401553333334,62.8807536
1609461000000,169.44165026666667,67.43025213333334
1609461900000,162.61126400000003,61.001955066666675
1609462800000,166.37242759999998,65.06177433333333
1609463700000,164.43569799999997,62.81437433333333
1609464600000,166.775428,64.94877813333333
1609465500000,164.1483354,62.12964826666667
1609466400000,165.69187340000002,63.538142666666666
1609467300000,169.81812440000004,67.26679153333335
1609468200000,169.01946159999997,66.82634860000002
1609469100000,170.86420286666672,69.24960006666667
1609470000000,164.1936043333333,61.93349679999999
1609470900000,171.58365733333332,69.226662
1609471800000,167.60074160000002,65.26597273333333
1609472700000,166.1240000666667,63.91979619999999
1609473600000,170.43973139999997,68.23387106666668
1609474500000,165.3252312,63.69647899999999
1609475400000,169.88028706666668,68.44993333333333
1609476300000,166.10935513333334,64.83227306666667
1609477200000,175.59519066666664,73.70068053333334
1609478100000,174.43475600000002,71.68011346666667
1609479000000,174.39737106666672,71.78036706666667
1609479900000,178.5905002,76.72809573333333
1609480800000,179.76582860000002,78.4717438
1609481700000,180.74226673333337,79.53085106666667
1609482600000,180.06913886666663,78.77576419999998
1609483500000,183.89634246666668,82.61745279999998
1609484400000,186.84377946666666,85.63661226666665
1609485300000,183.2111340666667,82.23162906666667
1609486200000,181.28087480000002,80.28761553333332
1609487100000,175.59038066666668,74.57450306666667
1609488000000,181.9441874,80.6974652
1609488900000,177.7095526,76.17917373333333
1609489800000,180.34371826666663,78.49553686666667
1609490700000,178.72411626666664,76.55409553333334
1609491600000,177.6904145,75.01489164285715
1609492500000,179.91999606666667,76.91784973333333
1609493400000,176.2363470666667,72.9541522
1609494300000,179.8190248,76.31087413333333
1609495200000,177.20581506666667,73.40983933333334
1609496100000,177.37348173333334,73.61512493333332
1609497000000,176.77630240000002,72.5177596
1609497900000,178.4736116,73.94221853333333
1609498800000,176.3940708,72.0567244
1609499700000,173.13840473333332,68.70891486666667
1609500600000,179.66515913333333,75.5726602
1609501500000,178.63978213333334,74.53911606666667
1609502400000,182.75121853333334,78.70413266666667
1609503300000,181.2898418,77.56418359999999
1609504200000,174.3541420666667,71.82672933333333
1609505100000,178.63773886666667,76.0796802
1609506000000,175.70703926666664,72.75468413333333
1609506900000,185.570434,82.68678
1609507800000,180.9102108666667,78.28451493333334
1609508700000,177.797537,75.16868633333334
1609509600000,180.34227779999998,77.94255826666667
1609510500000,175.88008613333338,73.84740213333332
1609511400000,175.44755080000002,73.61468399999998
1609512300000,175.229871,72.38061966666668
1609513200000,177.84661993333336,75.50656086666666
1609514100000,175.94255066666665,73.7595476
1609515000000,176.57777966666666,74.2531576
1609515900000,186.69520680000002,84.13386593333333
1609516800000,183.4057976,80.39326639999999
1609517700000,180.3780988,78.66188173333335
1609518600000,178.8609783333333,76.89268866666667
1609519500000,180.64246586666664,77.98348286666666
1609520400000,168.69932606666669,65.22363606666666
1609521300000,167.9169297333333,63.916931733333335
1609522200000,169.42512433333332,66.04825793333335
1609523100000,165.53796506666666,61.74192
1609524000000,170.1282232666667,66.54925146666666
1609524900000,166.4743724,64.14039833333332
